# M Z m_tot m_metal H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn Ga Ge As Se Br Kr Rb Sr Y Zr Nb Mo Tc Ru Rh Pd Ag Cd In Sn Sb Te I Xe Cs Ba La Ce Pr Nd Pm Sm Eu Gd Tb Dy Ho Er Tm Yb Lu Hf Ta W Re Os Ir Pt Au Hg Tl Pb Bi
13.000 0.000 1.14208093E+01 8.20768071E-01 6.59000000E+00 4.01004120E+00 2.17000000E-10 1.77000000E-20 2.94002920E-16 7.41000839E-02 1.83006380E-03 4.50001748E-01 1.17000000E-10 1.53007400E-02 1.44000000E-04 8.64267000E-02 3.78099100E-03 8.25700000E-02 4.88000000E-04 2.40688148E-02 5.78400000E-05 3.29230008E-03 5.37514000E-06 2.93784160E-03 2.12000000E-08 8.07100012E-05 1.65000135E-05 9.40000235E-04 1.33000000E-04 7.17260001E-02 1.76000000E-04 2.56050000E-03 5.10400000E-06 1.25729600E-04 7.81000853E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
15.000 0.000 1.35185870E+01 1.53854612E+00 7.58000000E+00 4.40004090E+00 2.94000000E-10 3.22000000E-22 3.30083000E-16 1.72000062E-01 1.86006860E-03 7.73006460E-01 1.97000000E-09 3.27053700E-01 2.45000000E-03 6.88960000E-02 1.37111000E-03 7.35880000E-02 5.63000000E-05 3.22775014E-02 2.04300000E-05 5.34230002E-03 8.66591000E-06 4.43337930E-03 4.03000000E-08 9.37900010E-05 1.08000105E-05 1.17310041E-03 1.85000000E-04 7.23800002E-02 1.32000000E-04 2.08050000E-03 3.78200000E-06 1.23125700E-04 5.62011200E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
18.000 0.000 1.63503675E+01 2.50033424E+00 8.43000000E+00 5.42003330E+00 7.34000000E-11 1.05000000E-22 7.14003920E-16 2.18000003E-01 1.89024000E-04 1.38000491E+00 7.91000000E-09 4.94116900E-01 2.08000000E-03 1.58456000E-01 3.14333000E-03 1.16787000E-01 1.32000000E-04 4.10880053E-02 3.55200000E-05 5.84000004E-03 2.10219600E-05 4.41815391E-03 5.54000000E-08 8.88600017E-05 1.24000460E-05 1.22070325E-03 1.74000000E-04 7.22780008E-02 1.61000000E-04 1.98770000E-03 4.08300000E-06 9.55582000E-05 6.10001840E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
20.000 0.000 1.83439404E+01 3.63389277E+00 8.77000000E+00 5.94004760E+00 2.79000000E-10 4.49000000E-23 6.55570000E-17 2.11000011E-01 5.42113000E-05 2.11000009E+00 1.62000000E-09 9.12112200E-01 2.90000000E-03 1.50354000E-01 1.37049800E-03 9.96920000E-02 8.01000000E-05 5.37880026E-02 1.07400000E-04 1.00560001E-02 5.34830000E-05 6.24737443E-03 2.55000000E-07 1.02780002E-04 1.10001360E-05 1.46500318E-03 2.26000000E-04 7.22870011E-02 1.50000000E-04 1.74840000E-03 3.58200000E-06 8.33688000E-05 4.93009210E-09 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
25.000 0.000 2.30410819E+01 4.41087090E+00 1.06000000E+01 8.03021100E+00 5.68000000E-09 1.24000000E-17 9.48870000E-16 2.94000015E-01 5.91117000E-04 2.79000216E+00 1.71000000E-09 5.33033500E-01 1.03000000E-03 1.20089800E-01 8.08750000E-04 3.51346400E-01 8.47000000E-05 1.85698000E-01 1.15300000E-04 3.13590000E-02 8.38080400E-05 2.48172658E-02 6.16000000E-07 1.65279002E-04 9.01011700E-06 2.96880932E-03 4.30000000E-04 7.37770023E-02 1.57000000E-05 4.41965003E-04 1.30790000E-07 2.55692104E-06 8.76240000E-11 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
30.000 0.000 2.79300970E+01 6.70989096E+00 1.17000000E+01 9.52020600E+00 2.36000000E-08 1.26000000E-20 3.27005180E-15 3.37000010E-01 1.65670000E-06 4.81000002E+00 8.94000000E-10 8.51140800E-01 1.42000000E-03 2.26373000E-01 2.63292000E-03 2.48843000E-01 1.17000000E-04 1.16249201E-01 3.84000000E-05 1.96348000E-02 1.63909940E-05 1.74063039E-02 1.51000000E-07 1.89406000E-04 1.06000026E-05 3.34020017E-03 5.16000000E-04 7.45730002E-02 2.47000000E-06 3.85607680E-04 2.38030000E-10 3.07479600E-10 5.29400000E-13 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
40.000 0.000 3.70867135E+01 1.11866879E+01 1.40000000E+01 1.19000256E+01 3.76000000E-11 5.33000000E-20 3.07237000E-14 4.29000003E-01 1.21800000E-06 8.38000021E+00 2.38000000E-10 3.07017550E-01 1.84000000E-04 4.78553000E-01 1.47013900E-02 1.02666000E+00 1.60000000E-03 3.75400032E-01 3.12600000E-04 4.98100001E-02 1.46010400E-04 3.73304197E-02 5.81000000E-07 2.67893009E-04 1.76006530E-05 4.38908590E-03 7.15000000E-04 8.00010141E-02 1.87000000E-06 5.78381856E-04 2.07300000E-11 4.44611450E-11 5.62000000E-15 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
65.000 0.000 6.49485502E+01 6.29885502E+01 0.00000000E+00 1.96000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.89000023E+00 7.91270000E-05 4.92000071E+01 1.63000000E-08 4.99069000E+00 9.13000000E-03 1.53749000E+00 3.37000000E-02 3.23480000E-01 2.71000000E-03 1.19441120E-03 5.57050000E-05 1.34890000E-05 1.33496000E-07 1.49442000E-08 1.40000000E-11 3.95500000E-11 1.10000000E-12 2.01800000E-12 8.31000000E-14 2.20170000E-13 1.56000000E-14 4.10440000E-14 5.90000000E-15 8.81700000E-15 9.49000000E-16 1.36700000E-15 0.00000000E+00 2.74000000E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
70.000 0.000 6.99531896E+01 6.84031896E+01 0.00000000E+00 1.55000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.54000042E+00 5.74300000E-05 4.58000020E+01 1.41000000E-08 4.04008540E+00 3.14000000E-03 3.02282000E+00 1.77000000E-02 7.99594000E+00 2.90000000E-03 2.43943001E+00 1.47500000E-03 3.10260000E-01 1.28403490E-03 1.88207257E-01 2.50000000E-06 1.36322000E-04 1.74000000E-05 1.13901900E-03 7.02000000E-04 3.65400108E-02 3.67000000E-06 1.34716095E-03 3.92819000E-12 1.68108380E-11 6.38000000E-16 1.80600000E-15 0.00000000E+00 2.34000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
75.000 0.000 7.49221890E+01 7.34821890E+01 0.00000000E+00 1.44000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.32000074E+00 4.97900000E-05 4.44000016E+01 1.28000000E-08 3.89022850E+00 2.95000000E-03 3.49476000E+00 1.66000000E-02 1.22239700E+01 2.16000000E-03 4.12807001E+00 1.55600000E-03 5.22280000E-01 1.31903020E-03 3.17205742E-01 2.90000000E-06 5.48399000E-04 6.49000000E-05 7.20001750E-03 2.75000000E-03 1.47980011E-01 4.09000000E-06 2.48718110E-03 4.34010000E-12 1.93130130E-11 5.86000000E-16 1.84100000E-15 0.00000000E+00 3.16000000E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 
